Episode,Steps,Reward,AvgSpeed,Energy,Success
376,6,-91.24,0.00,0.00,0
377,3,-90.49,0.00,0.00,0
378,1,-90.00,0.00,0.00,0
379,18,-95.93,26.56,52.63,0
380,4,-91.58,13.28,11.61,0
381,2,-90.51,4.98,4.07,0
382,7,-92.98,27.39,80.67,0
383,6,-92.91,0.00,0.10,0
384,4,-91.36,13.28,11.61,0
385,2,-90.19,4.57,1.94,0
386,5,-91.40,18.68,41.29,0
387,2,-90.53,4.98,4.07,0
388,1,-90.00,0.00,0.00,0
389,7,-93.31,28.22,109.89,0
