#{"t_start": 1769854650.485002, "env_id": "None"}
r,l,t
-90.536185,2,8100.585852
-91.893014,6,8110.749323
-90.69773,3,8116.660741
-92.217879,12,8119.944572
-91.063687,9,8127.122766
-92.518002,14,8136.788538
-91.963131,6,8145.880009
-90.0,1,8152.631879
-91.022111,3,8160.611714
-90.506242,2,8168.598458
-90.0,1,8174.93075
88.212952,7,8177.920314
-91.482471,3,8185.579479
-90.363271,3,8188.446004
-91.3733,6,8197.832242
-90.582804,2,8201.516304
-91.451392,5,8204.414587
-91.844843,3,8207.157634
-90.907061,3,8209.918253
-90.0,1,8216.670296
-91.074594,4,8219.545673
-90.778821,4,8222.292578
86.972,14,8225.58919
-90.518833,4,8228.443318
-90.0,1,8235.708587
-91.638124,3,8241.304557
-90.649252,2,8244.126772
-91.526412,8,8251.517678
-92.478782,9,8259.157991
-90.0,1,8266.135068
-91.5814,10,8274.41752
-90.442817,2,8277.190032
-90.697291,2,8282.477309
-90.0,1,8289.416613
-90.0,1,8294.34662
-91.213442,3,8300.881721
-91.260512,7,8307.629587
-91.545485,6,8314.079197
-92.712914,7,8321.21385
-91.538777,8,8324.400209
-38.572785,200,8494.961384
-91.504585,4,8498.129805
-91.933114,9,8506.315873
-91.288651,13,8519.675614
89.220849,5,8522.585319
-91.786637,10,8525.625573
88.038514,14,8528.900628
-90.899076,5,8531.979943
-91.798237,8,8543.288142
-90.0,1,8549.880874
-90.0,1,8556.427346
-90.713505,2,8564.006734
-90.0,1,8569.498955
-91.08026,5,8578.535522
-90.028801,1,8583.610836
-90.927213,2,8588.665992
-92.057319,7,8599.528144
85.663568,14,8602.971309
-90.722769,3,8605.850663
-90.00029,1,8608.571656
-90.0,1,8616.017104
-90.744356,2,8618.852193
-90.619655,4,8624.693455
-91.811894,10,8633.204819
-91.215872,4,8636.151161
-90.739161,2,8643.374077
-90.932882,3,8649.051109
-90.999153,7,8656.044378
-91.872469,8,8663.184036
-92.41399,8,8670.964523
-90.0,1,8677.863772
-91.293364,6,8680.896042
-91.508707,13,8684.221955
-90.632431,3,8689.538042
-90.0,1,8696.408754
-91.776724,9,8704.271932
-90.97245,3,8711.908787
-90.0,1,8717.026632
-91.084283,3,8724.763627
-91.083466,8,8735.893468
-91.441111,7,8745.656017
-91.575831,7,8752.434462
-91.009314,3,8760.234125
-90.488086,3,8766.392774
86.95269,11,8769.710088
-91.478938,6,8772.596069
-91.070393,7,8784.741556
-91.257215,4,8790.488378
84.709694,27,8794.431008
-91.64786,10,8797.5337
-90.268906,1,8800.88214
-91.659159,8,8803.909914
-90.0,1,8810.644318
-91.513644,5,8816.652092
-90.0,1,8819.445166
-90.0,1,8825.764049
-90.797389,4,8834.526917
-92.087747,8,8841.942901
-91.113731,5,8844.875596
-90.832075,4,8850.495949
-90.785516,4,8858.806165
-93.156662,7,8861.808183
86.894675,13,8865.685928
-90.027283,1,8868.387244
-90.0,1,8873.28879
-91.266059,5,8879.377885
-92.038858,12,8891.986503
-90.47924,1,8899.551321
84.964226,23,8911.180593
-92.515193,10,8914.339084
-90.249479,2,8919.49445
-91.358821,5,8927.973162
88.431494,5,8931.575356
-90.996443,5,8937.724203
-90.0,1,8944.602118
-90.0,1,8951.585202
-90.911032,2,8956.853644
-90.442619,1,8964.437943
-93.330608,16,8974.167514
-91.025357,5,8980.245761
-91.162879,2,8987.594042
-93.027013,13,9002.144942
-91.462523,7,9008.764925
-90.0,1,9013.693389
-92.280174,14,9016.994555
-90.409884,2,9022.092832
-91.911196,8,9028.798095
88.349389,9,9032.648177
-91.606539,6,9035.563572
-90.0,1,9042.171796
88.151088,8,9045.204957
-90.178246,1,9051.971865
-90.519051,2,9056.909495
-90.0,1,9061.778362
-90.876341,2,9065.225132
-90.709697,2,9067.950908
87.525031,10,9071.033624
-90.980441,8,9074.068605
-90.866125,3,9076.789422
-90.967241,5,9082.89958
-90.0,1,9090.312119
-91.026363,4,9093.55589
-90.0,1,9101.834842
-91.422618,7,9111.430527
-91.849596,12,9114.940747
-90.0,1,9121.870569
-91.006932,2,9124.65197
-90.868014,2,9131.155094
-92.232575,6,9142.277149
-91.440095,7,9156.013731
-90.267037,2,9163.321365
84.387257,14,9167.19217
-90.867567,3,9175.974693
87.385427,13,9179.379819
-90.261544,2,9182.23385
-90.463253,3,9187.765539
-90.471853,2,9192.611323
-90.0,1,9200.069725
-91.990409,9,9210.60498
-90.0,1,9213.361672
-90.0,1,9216.164896
-90.810253,7,9225.667715
-90.859591,3,9232.207418
-90.802532,3,9235.093851
86.117586,20,9238.923304
-90.0,1,9245.418439
-91.362913,3,9248.202075
-90.795757,3,9254.324361
-90.853647,7,9264.520892
-92.758356,11,9276.627524
-41.000264,200,9568.762418
-91.150491,3,9572.207685
-90.356087,3,9577.436322
-90.933347,4,9585.779721
-90.0,1,9590.525766
-92.305525,7,9600.50968
-90.876966,5,9608.641361
-90.782569,4,9616.342639
-91.064001,5,9624.315633
-90.993007,4,9628.042391
-90.465675,2,9632.997187
-90.0,1,9639.130411
-90.822717,2,9644.15698
-90.0,1,9646.914101
-91.771344,7,9653.146445
89.01932,4,9655.984468
-90.0,1,9661.368393
-91.762804,8,9664.674682
-91.876392,6,9673.887447
-90.0,1,9680.330744
-90.0,1,9687.112847
-90.0,1,9694.5796
-90.041962,1,9701.511161
-90.0,1,9707.920249
-91.01878,5,9713.859563
-91.248185,3,9719.407313
-90.891889,2,9727.080736
-91.251028,3,9732.179071
-41.472817,200,9889.545618
-90.510424,3,9893.286282
-91.431037,4,9898.87441
-92.245715,9,9908.736335
88.580356,8,9911.74874
-91.066302,4,9914.457299
87.599078,10,9917.457861
-90.0,1,9922.039205
-42.554041,200,10179.363717
-90.0,1,10187.274726
-90.921712,7,10194.731626
-90.911069,4,10203.78195
-90.998936,2,10213.220763
-91.688759,15,10222.654295
-91.358743,4,10227.946186
-90.954608,3,10233.059838
-91.650572,4,10235.929612
-90.0,1,10241.930591
-91.607742,6,10250.166414
-90.905472,3,10259.417986
-90.0,1,10264.214868
-90.583838,5,10272.70945
-90.839891,3,10275.680961
-90.957903,3,10280.749056
-90.476951,3,10286.102984
-90.931963,6,10292.859685
-91.558029,7,10299.95292
-90.0,1,10304.758001
85.032597,32,10308.930263
-90.826132,8,10315.426417
-90.159714,1,10321.705863
-90.0,1,10324.410462
-90.0,1,10331.03901
-91.01189,3,10336.36737
-91.704704,10,10339.760349
87.847384,14,10348.209497
-90.885901,5,10357.200367
-90.593502,5,10363.079037
-91.267065,7,10369.550248
-91.616742,8,10379.53579
-90.0,1,10386.280413
-92.422348,19,10403.703551
-90.079796,1,10406.517696
-91.210897,8,10417.092348
-91.226541,3,10423.298771
-93.216436,23,10435.15439
-90.0,1,10440.094812
-40.040275,200,10588.610453
-90.988571,7,10597.719438
-90.194359,1,10602.453809
-91.528856,10,10612.364317
-90.797599,2,10619.117799
88.515883,5,10622.755057
-91.174822,6,10625.593411
-90.0,1,10631.45819
-92.844879,10,10634.5318
89.420898,6,10637.33114
-90.0,1,10643.181669
-90.653358,4,10650.41219
-92.124232,13,10663.031216
-90.0,1,10669.003616
