Episode,Steps,Total_Reward,Avg_Speed_mps,Total_Energy_Wh,Success
285,3,-90.75,2.63,31.30,0
286,1,-90.05,8.23,0.00,0
287,1,-90.00,0.00,0.00,0
288,1,-90.00,0.00,0.00,0
289,2,-90.77,4.60,1.00,0
290,1,-90.05,27.61,0.00,0
291,1,-90.43,11.53,63.67,0
292,2,-90.33,33.04,-11.45,0
293,2,-90.36,45.73,0.00,0
294,7,88.28,19.72,59.20,1
295,12,-93.95,7.68,127.94,0
296,5,-91.12,6.21,86.53,0
297,4,-91.12,5.69,3.00,0
298,3,-90.49,12.64,1.00,0
299,2,-91.20,10.06,76.38,0
300,7,-91.33,20.23,-62.68,0
301,3,-90.92,26.13,1.00,0
302,7,87.82,22.52,9.59,1
303,1,-90.00,0.00,0.00,0
304,1,-90.00,0.00,0.00,0
305,4,-90.01,30.21,-158.40,0
306,13,-92.41,8.31,73.20,0
307,200,-43.41,0.51,106.48,0
308,5,-90.80,2.61,26.00,0
309,9,-91.72,13.89,120.98,0
310,6,-91.59,3.80,99.37,0
311,4,-90.81,10.38,2.00,0
312,1,-90.00,0.00,0.00,0
313,2,-90.78,14.95,1.00,0
314,1,-90.00,0.00,0.00,0
315,4,-90.99,1.88,9.60,0
316,6,-90.96,12.47,4.00,0
317,2,-90.55,10.39,1.00,0
318,2,-90.41,2.36,11.71,0
319,1,-90.00,0.00,0.00,0
320,3,-90.76,5.53,2.00,0
321,1,-90.00,0.00,0.00,0
322,5,-92.02,11.33,232.31,0
323,8,-90.87,2.08,7.04,0
324,1,-90.30,8.84,36.84,0
325,3,-90.65,20.42,-89.40,0
326,10,-92.24,9.21,-45.59,0
327,11,-91.94,6.51,-19.12,0
328,2,-90.91,37.35,-22.89,0
329,3,-90.61,30.96,1.00,0
330,3,-89.85,33.53,-103.01,0
331,5,88.62,35.46,12.56,1
332,3,-90.47,30.25,28.49,0
333,6,88.04,31.60,175.37,1
334,1,-90.00,0.00,0.00,0
335,6,-90.68,16.35,-112.23,0
336,200,-42.33,0.00,199.85,0
337,5,-91.68,11.48,123.14,0
338,2,-90.63,26.47,110.21,0
339,4,-91.04,23.36,11.02,0
340,2,-90.43,30.88,-11.45,0
341,1,-90.42,11.36,0.00,0
342,2,-90.08,42.51,0.00,0
343,1,-90.21,7.17,23.97,0
344,11,-92.46,3.30,70.51,0
345,1,-90.00,0.00,0.00,0
346,7,-91.78,12.39,101.98,0
347,2,-90.86,28.22,143.12,0
348,5,-90.80,2.49,4.00,0
349,10,-91.83,12.67,-106.47,0
350,2,-90.31,33.20,-45.78,0
351,2,-90.81,33.20,-45.78,0
352,4,-90.80,36.57,-21.89,0
353,14,87.45,8.32,17.16,1
354,10,-91.56,3.68,24.14,0
355,3,-90.75,28.14,1.00,0
356,8,-91.40,5.54,-92.16,0
