Episode,Steps,Total_Reward,Avg_Speed_mps,Total_Energy_Wh,Success
263,5,17.18,35.74,501.35,True
264,5,-17.47,15.65,123.71,False
265,9,-20.41,11.72,123.57,False
266,8,-1.49,14.56,123.55,True
267,12,-42.48,4.85,107.53,False
268,13,-28.47,10.11,200.23,False
269,7,-30.10,4.53,23.90,False
270,10,-14.11,16.37,590.43,False
271,9,-27.76,0.79,20.48,False
272,6,2.14,35.83,686.76,False
273,20,-54.62,6.69,211.33,False
274,17,-33.32,8.06,227.95,True
275,4,-10.69,16.37,51.59,False
276,11,-18.37,12.72,187.62,False
277,5,19.91,30.54,533.39,True
278,19,-28.99,15.33,871.92,False
279,11,-10.75,11.49,58.24,True
280,10,2.06,8.69,166.49,True
281,6,-12.52,12.91,87.42,False
282,8,-23.05,11.09,120.10,False
283,12,-42.95,0.82,85.54,False
284,7,-33.10,7.46,49.96,False
285,5,16.80,39.80,513.18,True
286,6,-13.61,21.74,216.68,False
287,4,19.57,36.13,196.60,True
288,2,13.80,47.94,133.07,True
289,3,-15.74,3.02,3.41,False
290,3,-5.20,21.86,108.11,False
291,2,-9.93,20.75,115.16,False
292,5,34.71,42.45,494.72,True
293,4,13.75,25.09,212.91,True
294,8,-17.78,16.59,307.99,False
295,2,-4.74,44.56,101.60,False
296,3,17.56,42.05,237.88,True
297,9,-16.55,14.96,224.60,False
298,5,25.86,32.41,420.80,True
299,12,-26.54,1.34,92.11,False
300,9,-4.19,14.67,150.72,True
301,7,-31.66,8.11,26.99,False
302,5,24.92,46.78,551.54,True
303,4,19.41,38.17,348.72,True
304,4,-12.23,19.07,91.55,False
305,15,-18.75,7.19,131.76,True
306,23,-35.55,9.76,786.85,False
307,6,-16.45,14.53,132.84,False
308,9,-12.04,21.97,365.85,False
309,7,6.99,10.46,54.39,True
310,3,-2.26,44.16,298.36,False
311,5,17.16,27.11,296.05,True
312,4,9.93,24.27,280.48,True
313,3,15.40,30.92,278.77,True
314,8,10.55,16.62,235.23,True
315,8,-21.46,9.15,48.25,False
316,2,-2.21,44.91,156.19,False
317,14,-2.78,17.84,468.33,True
318,6,-5.84,20.56,428.67,False
319,6,4.07,15.12,230.71,True
320,6,4.27,22.05,334.49,True
321,14,-18.43,15.78,642.76,False
322,8,4.13,17.73,238.31,True
323,4,-17.37,6.69,38.27,False
324,6,-18.53,4.03,123.10,False
325,8,-14.66,16.89,363.39,False
326,6,8.05,25.17,316.99,True
327,2,-5.90,48.55,186.14,False
328,2,18.30,44.62,232.46,True
329,3,22.48,48.00,445.09,True
330,8,8.91,22.16,394.11,True
331,4,-5.25,16.12,204.08,False
332,3,-6.73,27.30,33.41,False
333,3,-13.93,23.33,58.46,False
334,10,0.30,19.89,392.49,True
335,4,27.93,36.15,493.60,True
336,5,-5.20,23.63,68.65,False
337,5,-2.46,10.14,111.48,True
338,4,18.03,38.17,532.38,True
339,3,14.61,40.24,262.14,True
340,2,13.41,48.55,186.14,True
341,5,19.52,41.41,543.62,True
342,8,14.62,26.72,444.35,True
343,4,13.30,39.45,393.04,True
344,8,6.27,16.28,331.21,True
345,7,-21.05,6.84,96.77,False
346,4,16.12,38.17,394.89,True
347,4,25.00,50.84,542.11,True
348,6,-12.89,18.24,262.54,False
349,8,-15.86,5.19,214.63,False
350,7,8.20,13.56,204.55,True
351,7,4.13,19.68,190.46,True
352,28,-58.21,6.13,429.38,False
353,5,-17.31,17.82,111.80,False
354,6,-17.15,5.57,56.27,False
355,9,-30.88,9.49,40.57,False
356,7,1.79,23.70,390.59,False
357,8,-30.43,5.94,27.31,False
358,4,12.14,25.14,148.65,True
359,6,-27.96,8.49,90.56,False
360,4,-12.27,13.83,29.61,False
361,5,5.92,19.42,258.39,True
362,12,-3.68,13.28,180.70,True
363,5,-12.49,16.25,228.97,False
364,13,-12.09,16.02,794.20,False
365,20,-63.88,1.68,69.43,False
366,7,2.17,39.77,787.17,False
367,8,-18.22,10.30,324.97,False
368,8,3.15,17.32,454.98,True
369,11,-4.98,6.00,166.33,True
370,3,-14.16,5.04,7.62,False
371,7,-19.17,17.54,140.20,False
372,5,14.96,23.88,107.57,True
373,2,17.79,48.51,254.91,True
374,3,-18.19,10.44,19.93,False
375,3,-7.03,24.37,172.75,False
376,5,-0.66,31.64,524.86,False
377,9,9.92,20.83,228.40,True
378,7,-9.36,17.12,115.10,False
379,6,15.68,36.13,483.65,True
380,9,-3.38,17.81,292.45,True
381,5,9.35,11.00,222.94,True
382,4,11.38,28.61,232.27,True
383,8,-14.97,17.67,364.73,False
384,15,-43.98,3.21,101.98,False
385,17,-42.00,11.08,580.74,False
386,5,29.78,33.35,374.32,True
387,5,5.53,46.39,570.18,False
388,3,20.82,45.29,276.76,True
389,7,-16.28,14.68,55.32,False
390,4,18.97,33.03,324.80,True
391,5,18.84,33.08,373.77,True
392,3,19.70,45.49,376.07,True
393,15,-13.55,11.90,180.60,True
394,5,-5.47,21.50,340.44,False
395,8,31.07,32.98,495.37,True
396,9,1.00,10.88,150.09,True
397,5,-14.95,13.65,69.03,False
398,3,-13.54,13.83,12.42,False
399,5,-22.85,9.14,18.95,False
400,2,-11.49,18.31,32.07,False
401,4,-4.20,41.20,369.39,False
402,4,23.77,38.17,487.22,True
403,16,-39.64,5.40,245.01,False
404,4,-15.94,11.88,16.83,False
405,12,-13.70,12.06,425.74,False
406,8,11.37,20.01,302.12,True
407,5,9.75,24.38,224.38,True
408,7,-14.65,15.67,248.14,False
409,6,17.30,22.64,386.03,True
410,5,21.66,32.52,389.85,True
411,6,10.92,23.93,145.21,True
412,8,7.96,18.83,256.12,True
413,4,14.93,30.99,148.96,True
414,8,-7.65,19.43,216.09,False
415,7,-0.50,10.77,88.97,True
416,15,-0.34,15.35,612.92,True
417,4,-17.94,14.19,121.46,False
418,10,4.67,16.75,391.49,True
419,5,-13.73,18.24,180.01,False
420,12,-15.73,15.34,583.54,False
421,6,-4.62,30.83,354.31,False
422,3,20.68,50.90,324.64,True
423,3,15.02,36.52,301.71,True
424,6,-28.56,0.67,5.58,False
425,9,-29.90,12.24,93.98,False
426,13,-1.31,8.32,296.20,True
427,3,-16.10,2.88,7.02,False
428,4,17.21,35.76,314.74,True
429,10,-11.50,14.59,635.81,False
430,4,-19.52,7.69,36.42,False
431,5,-17.12,13.53,46.43,False
432,4,-11.05,23.60,125.10,False
433,3,14.74,34.20,138.86,True
434,5,6.73,17.38,108.88,True
435,6,8.53,20.75,108.83,True
436,3,21.90,44.08,251.76,True
437,6,2.37,20.29,339.79,True
438,6,3.89,19.70,488.67,False
439,7,1.72,19.06,110.78,True
440,10,-20.37,12.15,157.37,False
441,13,-13.58,4.67,72.92,True
442,6,-17.99,12.27,64.88,False
443,3,-12.45,4.57,52.57,False
444,12,-5.74,8.10,111.36,True
445,6,7.89,24.65,182.40,True
